Date,cardano_open,cardano_high,cardano_low,cardano_close,cardano_volume,cardano_MarketCap,polkadot_open,polkadot_high,polkadot_low,polkadot_close,polkadot_volume,polkadot_MarketCap,chainLink_open,chainLink_high,chainLink_low,chainLink_close,chainLink_volume,chainLink_MarketCap,binance_open,binance_high,binance_low,binance_close,binance_volume,binance_MarketCap,ethereum_open,ethereum_high,ethereum_low,ethereum_close,ethereum_volume,ethereum_MarketCap,tether_open,tether_high,tether_low,tether_close,tether_volume,tether_MarketCap,stellar_open,stellar_high,stellar_low,stellar_close,stellar_volume,stellar_MarketCap,xrp_open,xrp_high,xrp_low,xrp_close,xrp_volume,xrp_MarketCap,litecoin_open,litecoin_high,litecoin_low,litecoin_close,litecoin_volume,litecoin_MarketCap,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_MarketCap
28/02/2021,1.32361861,1.36111364,1.16609196,1.30805905,15732556180,40696967235,33.45447512,34.608173,29.96314875,33.60725607,4567616883,30723422512,26.23312746,26.75388968,23.07517121,24.66353274,2019851813,10112284118,225.445941,228.1730458,195.8526699,209.5744041,3129699003,32386116331,1459.860435,1468.39151,1300.472117,1416.048906,27637026080,1.63E+11,1.00122148,1.00248425,1.00083345,1.00211533,1.06E+11,35051423320,0.44151297,0.45163397,0.38611908,0.4066509,1888502990,9159071308,0.43776427,0.43944012,0.39769878,0.41495318,4325860134,18840545903,172.102185,172.6461718,154.7997958,164.9271731,5945000101,10978655641,46194.01635,46716.43099,43241.61823,45137.77047,53443887451,8.41E+11
27/02/2021,1.24214526,1.47665292,1.23413755,1.32486029,19141980288,41219695427,31.39625235,35.52410967,31.39625235,33.44936632,4507278636,30567858010,25.19774589,27.39061022,24.90677108,26.23509742,1874410773,10756640655,221.9809049,237.1794351,220.099401,225.2494434,2755271254,34808423808,1446.929455,1524.932428,1433.786929,1459.973121,20742103233,1.68E+11,0.99996024,1.00131056,0.9993741,1.00117772,94710037977,35024034646,0.40102002,0.47094168,0.40102002,0.441458,2799346118,9943037946,0.42790433,0.45759649,0.42790433,0.43780898,4756622833,19878291691,170.4314231,179.9298716,167.9087891,172.1004473,4991079437,11454859536,46344.77224,48253.2701,45269.02577,46188.45128,45910946382,8.61E+11
26/02/2021,1.08082827,1.29004747,0.99514983,1.24110539,14884142109,38613872246,31.14372953,33.49775173,28.10401053,31.34609002,5147313878,28635864216,24.73423052,26.94897045,23.76168109,25.18731328,1.71E+11,10327039145,235.270287,238.7550118,210.3107612,221.6804293,4167145958,34256894118,1478.65327,1559.028891,1407.979253,1446.03365,31435997881,1.66E+11,1.00007483,1.0003792,0.99872611,0.99999365,1.25E+11,35009955967,0.38220536,0.4010983,0.3578371,0.40067764,1387062138,9024534781,0.43494082,0.45043993,0.41555853,0.42790019,6476253874,19428392307,179.1285188,182.0758439,163.2482484,170.3981532,7875998386,11340299606,47180.46405,48370.78526,44454.84211,46339.76008,3.51E+11,8.64E+11
25/02/2021,1.05134901,1.17273203,1.01798591,1.0791162,8248286269,33573986145,33.62117186,35.07918133,31.05927338,31.08065968,3470266685,28386405742,28.07337312,28.55682975,24.59595998,24.66804707,2016768740,10077132966,254.4676057,264.7051337,233.8859561,233.8859561,4059853073,36143048172,1625.393882,1670.224062,1465.058946,1475.703735,24481681873,1.69E+11,1.00074646,1.00120712,0.99979456,1.00014857,1.05E+11,34927984531,0.40708386,0.42578577,0.38126871,0.38126871,1320643982,8577766461,0.47177568,0.48251693,0.42910328,0.43452354,5952353924,19729119199,181.3854224,204.7438417,176.0321453,178.9018429,7327999233,11904886776,49709.08242,51948.96698,47093.85302,47093.85302,54506565949,8.78E+11
24/02/2021,0.95495804,1.07483222,0.90258277,1.05165663,8481334623,32719650909,34.33086055,36.75256913,31.97544502,33.63354631,4724242062,30706882059,25.82765104,29.17878799,24.64551232,28.08671865,3087989666,11473692977,231.1216043,280.0881955,214.5247143,254.3591317,7154121651,39306825006,1571.476497,1710.983795,1511.018963,1626.575705,31329000537,1.87E+11,0.99999507,1.00088168,0.99953792,1.00075732,1.29E+11,34910214475,0.38679528,0.43282353,0.37040339,0.40723952,1862049592,9162056612,0.47420092,0.49936965,0.45475888,0.47183151,8015468859,21423051553,176.9667688,189.1654593,169.7890089,181.3785013,7205360252,12070508501,48835.08766,51290.13669,47213.49816,49705.33332,63695521388,9.26E+11
23/02/2021,1.09876906,1.13370487,0.82414457,0.95470914,11201900117,29703373313,37.66492985,37.71416818,26.75764262,34.30077361,7502138162,31292320714,31.52287277,31.54983127,21.19807175,25.80034345,5101235733,10539686857,267.3644247,268.5368452,190.4124633,230.9942518,8280752930,35696185048,1781.409018,1781.409018,1378.840907,1570.203925,52029864713,1.80E+11,1.00016808,1.00054249,0.99741253,1.00003241,1.96E+11,34762222903,0.466542,0.466542,0.32204892,0.38652963,2962479689,8689168941,0.57098918,0.57098918,0.37930209,0.47356259,14359021786,21501649334,208.1234069,208.3696697,159.6846732,176.9349152,10944696472,11773563803,54204.92976,54204.92976,45290.59027,48824.42687,1.06E+11,9.10E+11
22/02/2021,1.10040584,1.13415845,0.85153149,1.09915079,10562051439,34197312215,39.69625153,39.69625153,31.36259827,37.68948023,5770512363,34365198828,34.15009682,34.16166795,25.66321465,31.53080638,3577738647,12880635726,294.61237,295.4785873,223.0193632,267.5098065,7885768925,41339035406,1935.557854,1936.453782,1580.626553,1781.992976,42409646036,2.05E+11,1.00031231,1.00047338,0.99897842,1.00011129,1.70E+11,34454369301,0.49862601,0.52304309,0.39972297,0.46695725,2952779389,10497178439,0.54832441,0.63985051,0.52006904,0.57174115,18769236632,25959351669,227.2238234,227.2348039,182.527644,208.1067955,9523044215,13846295160,57532.73886,57533.38933,48967.56519,54207.31907,92052420332,1.01E+12
21/02/2021,1.12158374,1.14989925,1.07932078,1.10051956,7042361464,34239897895,39.17120107,40.47464646,38.15454567,39.69622868,3721239427,36134675190,34.07320735,35.23155762,33.42798875,34.15274205,1768919688,13951721505,254.5392796,307.5881016,250.5408103,293.9235915,8505963719,45420831168,1918.67315,1974.259588,1890.368116,1935.60106,23626547717,2.22E+11,1.0000795,1.00082511,0.99976571,1.00033184,1.02E+11,34268903481,0.4873699,0.50841945,0.47834654,0.49876793,1691495133,11203802237,0.51687934,0.55836731,0.50846391,0.54856014,6569716153,24906840534,227.519619,233.1479926,220.9837475,227.2313555,6934669818,15117128942,56068.56825,58330.57214,55672.60951,57539.94367,51897585191,1.07E+12
20/02/2021,0.92746157,1.19395762,0.9169214,1.12295796,11454890463,34938012154,34.79711355,42.06305045,34.79711355,39.24217734,6056666198,35712761350,34.71128017,36.82845999,32.63641548,34.10981666,3095945276,13934186074,332.9184419,334.4550483,227.9137498,255.9537311,9680520706,39553242902,1959.902977,2036.286493,1830.531535,1919.534003,34696091102,2.20E+11,1.00022831,1.0005345,0.99949607,1.0000679,1.37E+11,34125152335,0.51354409,0.53208217,0.46773465,0.48800631,2152043635,10962064696,0.56688315,0.58242381,0.48244043,0.51751221,7892199926,23497139197,236.6549131,245.9575269,216.6416563,227.6198922,8208699025,15143671930,55887.33571,57505.22819,54626.55978,56099.52051,68145460026,1.05E+12
19/02/2021,0.91425634,0.94377703,0.88528178,0.9276491,4582877243,28861468234,31.18814584,34.98970105,29.62764461,34.79221729,3466759116,31650533003,32.45512293,35.4069805,31.57805071,34.71521025,2518517791,14129422326,195.9878561,342.8795928,195.385744,332.6160326,17982945189,51400081848,1938.859881,1969.547055,1896.684508,1960.164744,26268814253,2.25E+11,1.00004478,1.00069846,0.99919106,1.0002009,1.14E+11,33537929874,0.49759744,0.52129951,0.48638704,0.51360199,1683567104,11537019584,0.53256997,0.57908432,0.52065491,0.56701857,6896487164,25744927541,226.8992929,241.1612914,220.9567765,236.6760117,7151082978,15744553204,51675.98129,56113.65055,50937.27572,55888.13368,63495496918,1.04E+12
