,Date,Crypto,Volume,Market Cap,OpenClose,HighLow
0,2021-02-28,0,9.248347430414119e-10,2.5104940113700184e-12,7.57322297415169,16.502392298993485
1,2021-02-27,0,5.924456564644399e-10,2.695030741610917e-12,-1.451075083988414,7.76014564018557
2,2021-02-26,0,1.1225799440012966e-09,2.754744890125109e-12,6.130382273043097,13.524866936738817
3,2021-02-25,0,1.3785128906744873e-09,2.960704449302763e-12,8.799865486339911,13.17701073688562
4,2021-02-24,0,1.7218879306679974e-09,3.0587692907569266e-12,-9.13571579614505,30.562204211810325
5,2021-02-23,0,2.6804879483474895e-09,2.6870768518459817e-12,15.745055397770074,41.02902744895502
6,2021-02-22,0,3.300754325654498e-09,3.0330510288301573e-12,10.131428028626587,32.49010450328694
7,2021-02-21,0,1.471710458326036e-09,3.0979216717179775e-12,-13.399506889422284,22.769660269705355
8,2021-02-20,0,7.81422601425587e-10,2.678766136645238e-12,30.06977488087847,46.74632339975827
9,2021-02-19,0,2.6666411563211506e-09,3.435377312407018e-12,-41.07684630786819,75.48854164089096
10,2021-02-18,0,1.849343298753718e-09,1.9813685067636515e-12,-15.777774169825776,22.159401550367264
11,2021-02-17,0,3.0267806540081165e-10,1.418475801150359e-12,-21.00561468876802,37.786788629998796
12,2021-02-16,0,5.2884459376093845e-11,1.0082151738965966e-12,-0.24363744131547094,5.113682324759878
13,2021-02-15,0,2.8906217481517337e-10,9.598157739361462e-13,5.17790664763163,16.273247839688693
14,2021-02-14,0,1.8023143754410966e-10,1.046743077410672e-12,-2.1643444105476988,7.787554608901814
15,2021-02-13,0,1.1025629111336316e-10,1.0179233125844567e-12,2.6041473899762906,10.134470939045315
16,2021-02-12,0,2.694651038906206e-10,1.116225578312792e-12,-9.338525850237573,15.21116291117734
17,2021-02-11,0,1.7792916841056196e-10,1.0314517385831441e-12,3.914502175441797,10.44486048284972
18,2021-02-10,0,8.9371945325894e-10,1.058000025297369e-12,-16.979403202912067,37.47725884835725
19,2021-02-09,0,4.008714392480288e-10,8.24939845668813e-13,-26.03563284642395,46.76511904952932
20,2021-02-08,0,2.197596663950922e-10,6.102731657317512e-13,-14.162299913648596,17.642855602641475
21,2021-02-07,0,1.952999388117849e-10,5.337433872103988e-13,6.236570787370809,15.68213444786663
22,2021-02-06,0,1.8107967263054267e-10,5.865883554462148e-13,-6.707986777989333,21.209058032882552
23,2021-02-05,0,8.168080976178412e-11,5.896750869686671e-13,-17.44367762982833,22.233488671457195
24,2021-02-04,0,1.2950532528832645e-10,4.605514650163749e-13,-6.585439291831207,10.596873436004898
25,2021-02-03,0,1.1543562594493585e-10,4.158948876066048e-13,-2.2826801661161653,5.448538690699877
26,2021-02-02,0,2.0019397219997352e-10,4.186602344992802e-13,0.9704548830544297,7.137075958319912
27,2021-02-01,0,3.480598777908378e-10,4.2753798366442703e-13,-14.142505742556267,19.792420306910458
28,2021-01-31,0,2.8221741703047147e-11,3.2834813701452515e-13,1.1805659791095309,5.246794782037554
29,2021-01-30,0,8.827204654838193e-11,3.325938263813132e-13,-4.285615341197925,5.408119724068499
30,2021-01-29,0,7.060604099342921e-11,2.959718250744224e-13,-1.0878521608249372,5.016949068854231
31,2021-01-28,0,3.54579029362628e-11,2.822370256334721e-13,-3.627370313882892,6.342009509112458
32,2021-01-27,0,1.2488422242123143e-11,2.540958002732439e-13,1.857043802574296,5.8318412983691275
33,2021-01-26,0,2.2528358285204383e-11,2.452941927126438e-13,-0.09499215986276965,6.17224833274777
34,2021-01-25,0,4.4840313265921923e-11,2.3848259604652636e-13,0.6062636439265816,6.693634655065097
35,2021-01-24,0,4.690701883742158e-11,2.401507853214007e-13,-2.4333698635150824,4.166158545800428
36,2021-01-23,0,2.581679728949295e-11,2.51790729665168e-13,0.1215541027233229,5.718515547698814
37,2021-01-22,0,4.1360793148015226e-11,2.4510529140441574e-13,-5.43903722555244,12.05917831815924
38,2021-01-21,0,1.3965178368454963e-11,2.1250424415024177e-13,10.247376853872709,10.886512992130008
39,2021-01-20,0,2.759144763901626e-11,2.4500167103319244e-13,0.13155015424841565,6.073868995369878
40,2021-01-19,0,1.394804165749898e-11,2.8595709453325897e-13,5.9602060934174546,12.288349582485566
41,2021-01-18,0,1.2192448640160054e-11,2.8832362566356177e-13,0.9136314135576669,5.995361243355845
42,2021-01-17,0,4.151000697858349e-12,3.2553008802186587e-13,-5.534621971113708,13.538268524729943
43,2021-01-16,0,8.414347705571027e-12,2.6303257588456785e-13,-5.217276851487156,7.816834267080594
44,2021-01-15,0,2.2212822235222647e-11,2.376509198405018e-13,2.140743741697065,8.480771940954867
45,2021-01-14,0,1.636720744854466e-11,2.1144969075863548e-13,-4.007435557023271,5.5898852233496825
46,2021-01-13,0,8.373489690380178e-12,1.8074889498286972e-13,-5.049105335681503,8.770676763170869
47,2021-01-12,0,1.2687038323817884e-11,1.7721589969092448e-13,0.4405730042753362,7.383005730085841
48,2021-01-11,0,3.2104123213392545e-11,1.7471227671810156e-13,10.688334720779082,20.77462101120014
49,2021-01-10,0,2.4825436784253553e-11,1.827682613642404e-13,3.523441710902844,11.23431556088967
50,2021-01-09,0,2.1875470950386653e-11,1.8048170816971841e-13,-3.5489633422740354,6.082314421408967
51,2021-01-08,0,1.6277030429047542e-11,1.8011814471616643e-13,2.767689148456242,7.539220029272769
52,2021-01-07,0,2.96829713577677e-11,1.741966148822876e-13,-2.8834965667276435,7.167374631142593
53,2021-01-06,0,1.1701155848337141e-11,1.7011235418340745e-13,-0.9259124127421643,3.9420391320877712
